job,event_timestamp,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
vehicle-count,1591093913424,1595497040106,1595497040137,1595497045719,1595497045738
vehicle-count,1591093914157,1595497042141,1595497042170,1595497045708,1595497045783
vehicle-count,1591093911742,1595497035072,1595497035142,1595497045708,1595497045783
vehicle-count,1591093913709,1595497041127,1595497041169,1595497045708,1595497045784
vehicle-count,1591093912733,1595497038110,1595497038134,1595497045708,1595497045784
vehicle-count,1591093913425,1595497040106,1595497040140,1595497045713,1595497045785
emergency-stop-streaming,1591093914157,1595497042141,1595497042170,1595497047113,1595497047117
emergency-stop-table,1591093913710,1595497041127,1595497041174,1595497047814,1595497047836
emergency-stop-streaming,1591093914382,1595497043156,1595497043183,1595497048179,1595497048190
emergency-stop-streaming,1591093914694,1595497044152,1595497044198,1595497048233,1595497048243
emergency-stop-table,1591093914157,1595497042141,1595497042170,1595497049052,1595497049059
emergency-stop-table,1591093914382,1595497043156,1595497043183,1595497050200,1595497050232
emergency-stop-streaming,1591093915334,1595497046178,1595497046297,1595497050546,1595497050553
emergency-stop-streaming,1591093915667,1595497047165,1595497047208,1595497051910,1595497051922
emergency-stop-table,1591093914694,1595497044152,1595497044198,1595497052490,1595497052506
emergency-stop-streaming,1591093915157,1595497045158,1595497045191,1595497052540,1595497052568
emergency-stop-streaming,1591093916157,1595497048192,1595497048258,1595497052681,1595497052689
emergency-stop-streaming,1591093916361,1595497049220,1595497049304,1595497053072,1595497053075
emergency-stop-streaming,1591093916699,1595497050213,1595497050277,1595497053413,1595497053424
emergency-stop-table,1591093915157,1595497045158,1595497045191,1595497054896,1595497054907
emergency-stop-table,1591093915334,1595497046178,1595497046297,1595497056414,1595497056418
emergency-stop-streaming,1591093918157,1595497054247,1595497054308,1595497056774,1595497056778
emergency-stop-table,1591093915667,1595497047165,1595497047208,1595497057843,1595497057850
emergency-stop-streaming,1591093919157,1595497057263,1595497057290,1595497059315,1595497059330
emergency-stop-streaming,1591093917157,1595497051223,1595497051252,1595497059706,1595497059745
emergency-stop-streaming,1591093917352,1595497052228,1595497052256,1595497059984,1595497059996
emergency-stop-streaming,1591093919258,1595497058258,1595497058337,1595497060161,1595497060164
emergency-stop-table,1591093916699,1595497050213,1595497050277,1595497060705,1595497060717
emergency-stop-table,1591093916157,1595497048192,1595497048258,1595497061265,1595497061271
vehicle-count,1591093918157,1595497054247,1595497054308,1595497061458,1595497061485
vehicle-count,1591093919157,1595497057263,1595497057290,1595497061459,1595497061486
vehicle-count,1591093918381,1595497055260,1595497055315,1595497061465,1595497061487
vehicle-count,1591093917352,1595497052228,1595497052256,1595497061466,1595497061488
vehicle-count,1591093916361,1595497049220,1595497049304,1595497061468,1595497061489
vehicle-count,1591093917157,1595497051223,1595497051252,1595497061468,1595497061490
vehicle-count,1591093917156,1595497051219,1595497051247,1595497061468,1595497061490
vehicle-count,1591093915667,1595497047165,1595497047208,1595497061455,1595497061501
vehicle-count,1591093916157,1595497048192,1595497048258,1595497061455,1595497061501
vehicle-count,1591093919862,1595497060275,1595497060324,1595497061456,1595497061501
vehicle-count,1591093915157,1595497045158,1595497045191,1595497061484,1595497061517
vehicle-count,1591093917680,1595497053232,1595497053275,1595497061485,1595497061519
vehicle-count,1591093918624,1595497056253,1595497056271,1595497061491,1595497061520
vehicle-count,1591093919257,1595497058257,1595497058344,1595497061462,1595497061536
vehicle-count,1591093916699,1595497050213,1595497050277,1595497061464,1595497061538
vehicle-count,1591093916360,1595497049220,1595497049270,1595497061475,1595497061540
vehicle-count,1591093919258,1595497058258,1595497058337,1595497061487,1595497061544
vehicle-count,1591093915666,1595497047165,1595497047253,1595497061499,1595497061549
vehicle-count,1591093916698,1595497050213,1595497050282,1595497061500,1595497061549
vehicle-count,1591093915334,1595497046178,1595497046297,1595497061500,1595497061549
vehicle-count,1591093917681,1595497053232,1595497053272,1595497061504,1595497061551
vehicle-count,1591093919568,1595497059268,1595497059288,1595497061504,1595497061551
emergency-stop-streaming,1591093917681,1595497053232,1595497053272,1595497061500,1595497061553
emergency-stop-streaming,1591093919862,1595497060275,1595497060324,1595497061804,1595497061814
emergency-stop-table,1591093916361,1595497049220,1595497049304,1595497062223,1595497062231
emergency-stop-streaming,1591093918381,1595497055260,1595497055315,1595497062607,1595497062633
emergency-stop-table,1591093917157,1595497051223,1595497051252,1595497062675,1595497062679
delay-statistics,1591093919566,1595497059268,1595497059292,1595497062928,1595497062935
delay-statistics,1591093919155,1595497057270,1595497057292,1595497062944,1595497062948
delay-statistics,1591093916155,1595497048204,1595497048260,1595497062944,1595497062948
delay-statistics,1591093917679,1595497053248,1595497053273,1595497062932,1595497062951
delay-statistics,1591093917350,1595497052240,1595497052297,1595497062939,1595497062953
delay-statistics,1591093919256,1595497058280,1595497058342,1595497062940,1595497062953
delay-statistics,1591093915155,1595497045158,1595497045192,1595497062942,1595497062953
delay-statistics,1591093918379,1595497055261,1595497055286,1595497062942,1595497062953
delay-statistics,1591093917155,1595497051223,1595497051302,1595497062942,1595497062953
delay-statistics,1591093916697,1595497050220,1595497050323,1595497062946,1595497062956
delay-statistics,1591093918155,1595497054247,1595497054310,1595497062947,1595497062956
delay-statistics,1591093916359,1595497049228,1595497049304,1595497062950,1595497062957
delay-statistics,1591093918622,1595497056259,1595497056272,1595497062950,1595497062960
emergency-stop-streaming,1591093920157,1595497061283,1595497061322,1595497062963,1595497062971
delay-statistics,1591093915332,1595497046178,1595497046195,1595497062960,1595497062971
delay-statistics,1591093915665,1595497047173,1595497047232,1595497062963,1595497062972
delay-statistics,1591093919860,1595497060275,1595497060324,1595497062964,1595497062973
emergency-stop-table,1591093917352,1595497052228,1595497052256,1595497063263,1595497063268
emergency-stop-streaming,1591093920520,1595497062297,1595497062353,1595497063692,1595497063718
emergency-stop-streaming,1591093918624,1595497056253,1595497056271,1595497063859,1595497063933
emergency-stop-streaming,1591093920778,1595497063282,1595497063357,1595497065186,1595497065194
emergency-stop-table,1591093917681,1595497053232,1595497053272,1595497065347,1595497065355
emergency-stop-streaming,1591093919568,1595497059268,1595497059288,1595497065841,1595497065851
emergency-stop-streaming,1591093921157,1595497064294,1595497064353,1595497066394,1595497066410
emergency-stop-streaming,1591093921432,1595497065304,1595497065325,1595497067378,1595497067384
emergency-stop-table,1591093918381,1595497055260,1595497055315,1595497067828,1595497067839
emergency-stop-table,1591093918624,1595497056253,1595497056271,1595497069359,1595497069368
emergency-stop-table,1591093919568,1595497059268,1595497059288,1595497069609,1595497069619
emergency-stop-table,1591093919862,1595497060275,1595497060324,1595497070575,1595497070579
emergency-stop-table,1591093920157,1595497061283,1595497061322,1595497070898,1595497070902
emergency-stop-streaming,1591093922361,1595497068332,1595497068389,1595497071653,1595497071712
emergency-stop-streaming,1591093922615,1595497069335,1595497069361,1595497072007,1595497072015
emergency-stop-table,1591093921432,1595497065304,1595497065325,1595497072952,1595497072958
emergency-stop-table,1591093921157,1595497064294,1595497064353,1595497072999,1595497073013
emergency-stop-table,1591093918157,1595497054247,1595497054308,1595497073893,1595497073906
emergency-stop-streaming,1591093922931,1595497070335,1595497070384,1595497074643,1595497074649
emergency-stop-streaming,1591093921759,1595497066333,1595497066382,1595497075425,1595497075428
emergency-stop-table,1591093921759,1595497066333,1595497066382,1595497075914,1595497075926
emergency-stop-streaming,1591093923585,1595497072381,1595497072415,1595497076490,1595497076514
emergency-stop-table,1591093922157,1595497067326,1595497067365,1595497076640,1595497076676
emergency-stop-streaming,1591093922157,1595497067326,1595497067365,1595497076742,1595497076746
emergency-stop-table,1591093919258,1595497058258,1595497058337,1595497076837,1595497076888
emergency-stop-table,1591093919157,1595497057263,1595497057290,1595497077089,1595497077096
emergency-stop-streaming,1591093923310,1595497071356,1595497071461,1595497077352,1595497077357
emergency-stop-streaming,1591093923894,1595497073376,1595497073401,1595497077815,1595497077821
vehicle-count,1591093924843,1595497076393,1595497076429,1595497077973,1595497078017
vehicle-count,1591093923894,1595497073376,1595497073401,1595497077967,1595497078018
vehicle-count,1591093922931,1595497070335,1595497070384,1595497077967,1595497078032
vehicle-count,1591093921155,1595497064284,1595497064352,1595497077968,1595497078033
vehicle-count,1591093922930,1595497070335,1595497070387,1595497077968,1595497078033
vehicle-count,1591093921759,1595497066333,1595497066382,1595497077974,1595497078035
vehicle-count,1591093924842,1595497076389,1595497076429,1595497077983,1595497078037
vehicle-count,1591093922361,1595497068332,1595497068389,1595497077983,1595497078037
vehicle-count,1591093921430,1595497065298,1595497065336,1595497077996,1595497078040
vehicle-count,1591093921156,1595497064284,1595497064324,1595497077970,1595497078054
vehicle-count,1591093924520,1595497075396,1595497075426,1595497077972,1595497078055
vehicle-count,1591093922613,1595497069329,1595497069368,1595497077977,1595497078057
